,0
DUMPSTER,1
PRIVATE,1
uni,1
COURIER VA,1
cate,1
harve,1
vespa,1
GOVT,1
small,1
Access a R,1
U-Haul min,1
BTM,1
Red vehicl,1
OLC,1
E PAS,1
NYC G,1
NYC FD,1
SW/VAN,1
2 TON,1
vol,1
LADD,1
house,1
POIS,1
Truc,1
F45,1
BLU BUS,1
spec-,1
MINI BUS,1
sem,1
AMBULAMCE,1
VAN`,1
HWY C,1
UNK BOX TR,1
EPO,1
CAT ESCABA,1
Shove,1
postal ser,1
11 PA,1
e BIK,1
mail truck,1
omnibus,1
liver,1
nyc d,1
In Line Sk,1
SKYWATCH,1
rmb,1
315 e,1
DUAL,1
HERTZ RAM,1
DUMPTRUCK,1
HOME MADE,1
mc,1
Van h,1
cross,1
mta bus  4,1
UNK T,1
DEL,1
USPS#,1
Fd fi,1
DSNY Garba,1
boom crane,1
u haul,1
delivery v,1
CB534,1
STAND UP s,1
BOXTR,1
mobil,1
d3,1
ENCLO,1
GRUMM,1
PALFINGER,1
35 FT,1
YPS,1
JohnD,1
SCHOOL VAN,1
pay loader,1
Flatbed Pi,1
PEPSI DELI,1
SMYELLSCHO,1
D/V WB,1
2- to,1
Fdny 331 k,1
John Deere,1
Movin,1
Attac,1
AMBLUANCE,1
MTA U,1
Ltrl,1
POSTAL CAR,1
MTABUS,1
1S,1
RD BLDNG M,1
White Work,1
PICK RD,1
E bike,1
REG,1
EC2,1
VAN A,1
Department,1
HEARSE,1
Mecha,1
FRHT TRAIL,1
USPS/GOVT,1
QUAD,1
gas bike,1
Light,1
TOWMA,1
11-VA,1
flatbed,1
325FLCR,1
Cherry pic,1
GAS POWERE,1
9999,1
eScoo,1
Passe,1
nyc b,1
tlc,1
BKHOE,1
EMERGANCY,1
TTAILER,1
FLLET,1
FOLK LIFT,1
AMBULANVE,1
motorhome,1
NYCHA Van,1
HEIL,1
NYC f,1
NYNJ RAIL,1
USPS2,1
boom,1
FUSION,1
COMMM,1
SD,1
R/V C,1
VS2,1
SHORT,1
Veh L,1
RDS,1
Access A R,1
Revel Mo'e,1
MANUAL SCO,1
ASPHALT RO,1
P/SH YW,1
Tree cutte,1
DOT V,1
Ford FF,1
unkn,1
PISH,1
ENGINE SP0,1
Bicyc,1
DLVR,1
scava,1
DOLLAR VAN,1
fed ex tru,1
Limousine,1
Lumbe,1
CRF Carria,1
15 Pa,1
FORD SPRIN,1
LAWNMOWER,1
us ma,1
axo,1
US Mail Tr,1
TRUCK LADD,1
PUSH,1
waste,1
VANET,1
sprinter,1
Uhaul truc,1
SALTSPREAD,1
sanitaton,1
Chevy carg,1
12 fe,1
Smart,1
silve,1
UHaul Truc,1
Tow-truck,1
Dodge,1
Delivery V,1
Lateral Tr,1
MTRIZ,1
Bobcat 216,1
Ny Ems,1
X,1
E- Bi,1
PS,1
SUBN WHI,1
UPS VAN,1
BOB CAT,1
MOped,1
WORKM,1
STAND UP S,1
Penske Box,1
Hyster For,1
abulance,1
scoo,1
mtr s,1
C-1,1
uliti,1
Cement tru,1
EMS FDNY B,1
COMMERIAL,1
FORD TWO T,1
BLUE,1
snow,1
sgws,1
GLNEN,1
amdu,1
LULL,1
TRUCK W/TR,1
LAWN,1
TR/C,1
GOVENMENT,1
FDNY- Fire,1
usps 88716,1
speci,1
rgs,1
armored tr,1
CAT FORKLI,1
LSV,1
unlno,1
N?A,1
FOOD VENDE,1
EMI- TRAIL,1
Bull dozer,1
TOYOT,1
Comix,1
DEL T,1
FDNY LADER,1
TCR,1
MARKED VAN,1
US GOVERME,1
Food cart,1
Feder,1
Govt P/U T,1
Ebike,1
anbul,1
Barri,1
Pump,1
ESCAVATOR,1
nissa,1
SKIDSTEERL,1
Fd truck,1
Dumpster t,1
big r,1
ken,1
ukn,1
EMS BUS,1
gov v,1
east,1
FDNY Ladde,1
Mailtruck,1
Tow-t,1
dumpe,1
Mcy,1
2003,1
Gator,1
Token,1
TOWE,1
Bread truc,1
NYS A,1
Tilt tande,1
BULDOZER,1
White ambu,1
Yamah,1
ManPower s,1
LADDER 34,1
HINO TANK,1
FDNY Ferra,1
Wheel,1
scooc,1
FDNY CHIEF,1
USPST,1
Uhaul Truc,1
pass,1
van w,1
NS AM,1
Delie,1
TRIAL,1
MTA truck,1
RAZOR,1
APP C,1
sanitaion,1
FIRET TRUC,1
CITIBIKE,1
CAN,1
TANDU,1
Unkow,1
Fdny Fire,1
17,1
police rep,1
DEI V,1
Pumper,1
Siting mop,1
red t,1
lmb,1
st,1
post,1
conti,1
NJ transit,1
HD,1
DEPT VAN #,1
BURG,1
COMM TRK,1
Transit,1
16M,1
CUSHM,1
srf,1
gas bicycl,1
BOOML,1
Fdny fire,1
SAVANA VAN,1
g scl,1
mac 1,1
police van,1
GARAB,1
Razor Scoo,1
SCOOTER (G,1
CHEV,1
Special Co,1
CT,1
Rmp,1
small trac,1
OMNI,1
pOSTA,1
MTA TRANSI,1
Private Am,1
U-HAUL TRU,1
SRF,1
g com,1
LMA,1
AMABU,1
REFQ,1
AMUBULANCE,1
ES,1
4 RUN,1
Tram,1
OBJEC,1
back ho,1
CADET,1
12' o,1
FLATBED TO,1
DIG-I,1
E.M.S,1
Fedex truc,1
CHEVY VAN,1
MAILTRUCK,1
Rolli,1
CHURC,1
CRWZK,1
usps self,1
E1,1
Com t,1
mo-pe,1
AMBULANCE`,1
almbulance,1
GR HS,1
"TRLR PLT,",1
ï¿½MBU,1
FLAT  BED,1
UPS Truck,1
FD NY,1
GOVT.,1
CMIXER,1
SEDONA,1
skate boar,1
fedex truc,1
usps  van,1
KW TR,1
DELV BR,1
EMS T,1
L1,1
high,1
FedEx Truc,1
2dr,1
BOX H,1
"USPS TRUC,",1
bucket tru,1
SKID-,1
CARAVAN,1
isuzu,1
430,1
RGR,1
MOVIE,1
E-Scoter,1
T880,1
USPS small,1
r/v,1
TOWIN,1
Hrse,1
FDNY285 En,1
Street Cle,1
ford econo,1
winne,1
Fire Appar,1
dark color,1
INTE TRUCK,1
SAFET,1
VAN/,1
INTERNATIO,1
police veh,1
VAM,1
scooter ga,1
FLAT-,1
UNKNOWN CA,1
TR/KI,1
DEIV,1
FORD TRANS,1
CHERR,1
Mini Van,1
Crane truc,1
C2,1
HOSRE,1
BOOM MOPED,1
Hearse,1
FOGLIFT,1
ASPHA,1
Ems t,1
D2,1
3DC-,1
REF G,1
G com,1
Garbage,1
C 1,1
VAN (TRANS,1
EMS bus,1
E - B,1
SCOOTER GA,1
UNKWOWN,1
ALUMI,1
Skid,1
SUBN TN,1
RUBBE,1
DOT EQUIPM,1
Isuzu,1
FDNY mecha,1
Utility tr,1
Cat 9,1
NYC FDNY #,1
engin,1
Pick Truck,1
16m,1
BROWN,1
USPS #7530,1
van a,1
Red moped,1
BUS M,1
SNOW PLOWE,1
I-haul,1
Tr,1
CAR TRAILE,1
HARVE,1
ACCEE,1
Na,1
box van,1
PASSANGER,1
TOW R,1
wesco,1
PALLE,1
fdny ambul,1
Ford f150,1
SLINGSHOOT,1
derelict v,1
RV motorho,1
Box Car,1
Mot S,1
CAT P,1
BUDGE,1
delivery w,1
del,1
ems bus,1
backhoe re,1
Electricun,1
GE/SC,1
EZ GO,1
TC,1
2YDSWHEELL,1
hook,1
FIRE BUS,1
Piggy back,1
Utility ca,1
VAN/B,1
fre,1
GSPC,1
trt,1
MARK,1
FIRE TURCK,1
Dirt bike,1
CITY VEHIC,1
conedison,1
del truck,1
Mopoed,1
Gas Moped,1
''lime mope,1
VAN/TRANSI,1
SEMI-TRUCK,1
GLP050VXEV,1
DL,1
ND,1
sub,1
NYPD TOW T,1
AMULA,1
e-sooter,1
nyc s,1
CMS-T,1
sweeper,1
van s,1
TRUCK VAN,1
access-a-r,1
transport,1
Cargo Truc,1
DSNY SWEEP,1
UK,1
Nypd,1
van c,1
USPS Vehic,1
WH,1
DSNY sanit,1
PENSKE BOX,1
2TON,1
BEYOND SCO,1
vn,1
UTLL,1
FREIH,1
F650,1
YELLOWPOWE,1
uhual,1
COM TRANS,1
Pro master,1
TRAILER/TR,1
MOTORIZED,1
TIR,1
crane boom,1
MVP,1
3 doo,1
Van T,1
NYC DOT,1
MOWER,1
renta,1
GENIE,1
APORT,1
nyc EMS,1
USPS MAILT,1
EXCABATOR,1
Sierra,1
Post offic,1
ELECTRIC B,1
f550,1
gover,1
JUNST,1
van truck,1
PRIVA,1
PRIV AMBUL,1
Liver,1
99999,1
Moped elec,1
Work van,1
Fdny ems,1
KOMATSU LO,1
Lawnmower,1
UHal Renta,1
REFRG,1
FD APPARAT,1
BLOCK,1
DLEV,1
ARIEL,1
seagr,1
VENDOR CHA,1
SPINTER VA,1
truck trai,1
DODGE RAM,1
trc m,1
EMRGN,1
AMUBL,1
wheel,1
tilla,1
Maintenanc,1
SUDN,1
STATE,1
impal,1
FDNY EMT,1
train,1
PCH,1
PASS-,1
WC,1
Dumps,1
Rental van,1
NO/BU,1
navig,1
Gover,1
fdny fire,1
VMS T,1
Mobile foo,1
Mack truck,1
pedicab,1
Trolley ri,1
Box M,1
TKTR,1
AUTOTRLR T,1
limou,1
TRANSIT VA,1
gas moped,1
CONVE,1
BOX Truck,1
e-BIK,1
TUCK,1
PICK-UP,1
LD,1
ST150,1
UTILITY WH,1
SEN,1
RAM COMM.,1
Cater,1
Polic,1
dot t,1
TRANSIT MT,1
MOBILE,1
Scooter ga,1
WHIT,1
RORO,1
EMS H,1
GEN  AMBUL,1
UTYLI,1
METRO TRAN,1
sterl,1
VAN U,1
HEAVY TRUC,1
72000,1
ARMY,1
LEFT THE S,1
E-SKA,1
car c,1
ARCIMOTO,1
Mopen,1
NYC A,1
electric m,1
VMS SIGN,1
MTA BUS 40,1
c7c,1
depar,1
H3,1
DOT Safety,1
NYC FDNY,1
HI TA,1
UTIL WH,1
Bucket tru,1
MOTOR. SCO,1
Can,1
Distributo,1
CAR T,1
HRSE,1
CHEVR,1
E MOTORCYC,1
AMULANCE,1
Pumper tru,1
Fed ex van,1
paylo,1
UNATTACHED,1
Yale Fork,1
BUS (OMNIB,1
B55 excava,1
ROLLOFF,1
DEP V,1
USPS #6530,1
BOOM 60FT,1
Suv,1
yy,1
Caterpilla,1
LAWN MOWER,1
COURIER,1
Flat bed t,1
CON E,1
PROGRESSIV,1
NT TR,1
AERIAL LIF,1
ROADS,1
NYC FIRETR,1
e com,1
trc,1
18 Wh,1
Yamaha,1
FLATBED FR,1
Lim,1
fdny ems,1
JLG M,1
STACK,1
Subn/ambul,1
Busv,1
2 HOR,1
Electronic,1
HI LO,1
SWEPE,1
MAIL CARRI,1
GAS MO-PED,1
ELEC.,1
Front-Load,1
FLYWING MO,1
JCB40,1
MCR,1
GOV'T,1
KME/F,1
U-HAUL,1
Jeep,1
YELLOW TAX,1
F150XL PIC,1
Govt,1
D1,1
NonMotordS,1
icecr,1
DIRT-,1
APURP,1
50 CC Moto,1
(ceme,1
mot s,1
4SEDN,1
Liebh,1
Pedestrian,1
Seagrave T,1
OLM,1
trans,1
TOUR BUS,1
FREE,1
KME,1
B5-44,1
FEIG,1
utv,1
prks,1
FREIG DELV,1
Skywatch,1
u-hau,1
GOV V,1
CAMPER VAN,1
FDNY PICKU,1
U.S.P,1
mta B,1
WORKH UTIL,1
Gas T,1
METROTECH,1
RAZOR SCOO,1
ESU RESCUE,1
ROOD,1
FR`,1
SHCOO,1
FD tr,1
LP,1
EAMB,1
range,1
ACCESS A R,1
FEDERAL EX,1
GMC DELIVE,1
Trailer tr,1
Laund,1
Small,1
U-HAL,1
NTTRL,1
OFFIC,1
WESCO,1
escooter,1
TUGGE,1
T630 Forkl,1
PET,1
COLLECTION,1
Scooter no,1
E3,1
FedEx box,1
Stake,1
box p,1
DUNBA,1
12 Pa,1
Fedex,1
TR-Trailer,1
Ambiance,1
mini,1
STREET,1
Tlr,1
NYPD ESU T,1
M2,1
OML/,1
postal van,1
TRAILEE,1
Snow,1
FREIGHT,1
JJ150T-4A,1
Traffic To,1
26 ft,1
PERM,1
bobct,1
4 wheeler,1
John,1
NYC-S,1
Renta,1
Transit va,1
cart,1
FRE T,1
Workcart,1
uknown,1
FDNY SUPER,1
CONCRETE M,1
NV CA,1
NYPD Tow T,1
PAS 5,1
013,1
Train cart,1
RENTED BOO,1
WHBL,1
COMM TRUCK,1
COMMAND PO,1
FD Ladder,1
Leased amb,1
dilevery t,1
POWER LADD,1
delie,1
MO PED,1
G1,1
DB,1
ROADROLLER,1
UTLIT,1
VANT,1
City MTA b,1
U Haul Tru,1
TLC P,1
DOOSK,1
LTRL,1
suv /,1
NYC a,1
TRAC.,1
HDC,1
Van Box Tr,1
com v,1
AP,1
ford van,1
CARGO TRAI,1
TKP,1
PAYLOADER,1
Uber,1
197209,1
White Ford,1
Red M,1
f,1
ME/BE,1
Horse trai,1
US po,1
Short Bus,1
FORD SUPER,1
AERIA,1
Livery Bus,1
f-250,1
VAN WH,1
Trailer Fl,1
ABULANCE,1
dodge,1
T/ CR,1
T350HD,1
U-TRU,1
MTA NYC BU,1
BOOM LIFT/,1
Usps mail,1
motorized,1
WANC,1
RYDER,1
delviery,1
Fleet,1
TRLPM,1
LCOMM,1
Light Towe,1
FRHT VEHIC,1
work truck,1
POSTO,1
NE/FL,1
BULL DOZER,1
JOHNDEERE,1
OMC,1
Bobby,1
50cc mini,1
forlift,1
Mercedes,1
5X8 T,1
Track,1
MTA transi,1
"A,n",1
COM DELIVE,1
ABULA,1
scl,1
pick-,1
AMbulance,1
DELV WH,1
Trc,1
Fed Ex Tru,1
inter,1
CHERV,1
Escavator,1
GMC ECOM,1
nycta,1
CABIN,1
AMBALANCE,1
NICE BUS,1
TRUCK FLAT,1
freight,1
OTH,1
Livery Omn,1
TOWTRUCK,1
e-350,1
e tow,1
MOTOR SKAT,1
DEMA-,1
UNK FEMALE,1
SCOOTER BI,1
15 PA,1
METAL,1
conv,1
Farm,1
Standing s,1
HI-LO,1
DOT,1
Subur,1
MTA C,1
VA,1
Light trai,1
Ram,1
postal bus,1
Push cart,1
ORION,1
Ambulette,1
delivery,1
UPS Van,1
tow trk,1
UHAULWTOWD,1
E/BIK,1
VAB,1
S/SP,1
Rental Tru,1
All-Terrain Vehicle,1
NAA,1
15 pa,1
00000,1
E AMB,1
OZ MO,1
santa,1
Revel Scoo,1
Ford sprin,1
DETAC,1
Stak,1
3-Whe,1
SHUTTLE BU,1
MAC F,1
AMBUKANCE,1
commerial,1
x trailer,1
eletr,1
semitraile,1
VAN E,1
"red,",1
X Amb,1
AMBULCANCE,1
me/be,1
nypd,1
787,1
Pass,1
Fire Depar,1
Schoolbus,1
Fire Truvk,1
A-ONE,1
MTA WORK T,1
NEW FLYER,1
Grail,1
dirtbike,1
Limou,1
wheel barr,1
SPR,1
FLTRL,1
PICKUP TOW,1
NYCHA FORK,1
F350,1
pickup tow,1
mopet,1
Pickup tow,1
CARRIER,1
POSTOFFICE,1
FIRER,1
Push scoot,1
RINGO,1
1C,1
SONATA,1
COM/A,1
WHITE WORK,1
NYFD,1
ELEC. UNIC,1
Ford picku,1
Plow  truc,1
FOOT,1
SCOOTER/MO,1
COMMU,1
EMT,1
salt,1
M/C,1
USP M,1
City Owned,1
SUBN-,1
Fire engin,1
MOTORED SC,1
Hand,1
cat 3,1
SKATBOARD,1
CATIP,1
DOT R,1
wheel load,1
TL TRAILER,1
LLV MAIL T,1
Comm Food,1
camper,1
fIRET,1
john,1
Utility Ve,1
"Unk,",1
EMS B,1
2 WHE,1
DEPT,1
18 WEELER,1
AMAZON SPR,1
GOLF KART,1
Excav,1
trash,1
Scooter/Mo,1
E- SCOOTER,1
Pick-up tr,1
MTA Van,1
TRuck,1
MAC,1
spc p,1
Ele. Unicy,1
SCOOTER SI,1
revel,1
BOBCAT FOR,1
POTAL,1
HOVERBOARD,1
Constructi,1
SUBR,1
Car Traile,1
PSR,1
White Van,1
bus y,1
Telehandle,1
CATAPILLAR,1
city,1
FLED,1
SERVI,1
NYC TRUCK,1
bobcat sno,1
kenwo,1
COM.,1
2000,1
DUMPSTER T,1
E REVEL SC,1
MARKED RMP,1
White box,1
UPS M,1
TRACK EXCA,1
rolle,1
Comm,1
itas,1
Razor scoo,1
A bulance,1
Commer Veh,1
omni,1
18 wheel,1
p/u,1
progr,1
FIre,1
Hino,1
SCISS,1
swingloade,1
USPS box t,1
Amazon tru,1
Mo pa,1
CAT 4,1
perm,1
POSTAL tru,1
nys ambula,1
MILITARY,1
Motor home,1
Moped Scoo,1
CONTR,1
OMT/T,1
SM YW,1
4whee,1
E ONE,1
F550 ESU R,1
DSNY TRUCK,1
TRALI,1
NYC PARKS,1
D,1
FDNY #226,1
foor,1
Dirt,1
SUBN - AMB,1
MTA T,1
Broom,1
E Bike,1
Detached T,1
AMAZON VAN,1
e sco,1
7532433,1
BARRI,1
dhl t,1
Porta,1
l1,1
Work truck,1
GAS S,1
EMERGENCY,1
UNK.,1
COMMERICIA,1
standing s,1
UNKWN,1
GAS T,1
fedx,1
PSP,1
Detached t,1
motorbike,1
Fedex Box,1
FDny,1
7,1
LIABITIY,1
FED,1
FOR VAN,1
DELVR,1
Ridgeline,1
left scene,1
LIMIT USE,1
TRIALER,1
fed e,1
omm,1
SHORT SCHO,1
8X20,1
BUMP,1
P/V,1
BLUE CHEVY,1
Motorhome,1
MAXIM,1
2 wheel sc,1
PUSH SCOOT,1
Limo,1
TAILG,1
Mp,1
GOLF CAR,1
100th truc,1
SPECIAL CO,1
util truck,1
charter bu,1
sweep,1
hilow,1
RV/Tr,1
carri,1
Fdny engin,1
Bucke,1
QBE i,1
VEND,1
f15,1
U HAUL TRU,1
bmw,1
JLG ULTRA,1
utilt,1
Fed Ex Van,1
MTR H,1
LIEBH,1
vehicle tr,1
GMC T,1
50CC SCOOT,1
Subr,1
Wh Ford co,1
E- MOTOR B,1
FDNY SP200,1
Ecoli,1
Dart bike,1
EMT Truck,1
USPCS,1
VANG,1
STATION WA,1
50cc Scoot,1
MO PE,1
kick scoot,1
SEA,1
cm,1
FD Pickup,1
GENUI,1
te,1
Garage,1
SPEC,1
con ed tru,1
towe truck,1
Mop Pad,1
COUPE,1
TTRAILER,1
cargo van,1
Utility.,1
Inter,1
SANTI,1
FORK-,1
Power,1
Horse Trai,1
Fire rig t,1
Pedic,1
NV150,1
Ladder,1
Parce,1
WINEB,1
FREIGHT FL,1
Gator 4x4,1
CONT-,1
amazon tru,1
IC,1
G1`,1
nyc a,1
SUBN/,1
MINI SCHOO,1
Us po,1
Other,1
Ford Couri,1
Truck cran,1
13,1
Pas (4dr s,1
4 axe,1
boat,1
YLL P,1
Trailer no,1
USPCS Truc,1
Quality tr,1
250-3,1
vav,1
MILLI,1
ELE MOTORC,1
cab,1
FireT,1
Dent and S,1
GOV VEHICL,1
Ice Cream,1
g spc,1
Semi,1
Postal ser,1
rd/s,1
Util.,1
US Govt ve,1
CHASSIS &,1
Unmarked V,1
Carrier,1
SURET,1
NYC B,1
REFR,1
Mack Truck,1
E SKATEBOA,1
a,1
scho,1
utv bobcat,1
car,1
C0MME,1
SLINGSHOT,1
Front End,1
access a r,1
passa,1
CONTRUCTIO,1
HD To,1
GREEB,1
GAS PWR SC,1
E-MOT,1
Fdny Truck,1
CEMENT TRU,1
EMS AMBULA,1
wg,1
FIRTRUCK,1
ESCAVATER,1
ABMU,1
REVEL scoo,1
SMART CAR,1
YW PO,1
12 PASS VA,1
3DOOR,1
comm.,1
econo,1
BICYC,1
LIBER,1
nyc m,1
MINI VAHN,1
U.S. POSTA,1
toolcat,1
concr,1
yellow cab,1
SPARK150 S,1
MOTO-SCOOT,1
FRHT-SPR,1
EMBULANCE,1
?omme,1
Segway,1
SFI,1
vehic,1
Mopped,1
HOTDO,1
NYPD Signa,1
CITY OWNED,1
PLOW TRUCK,1
CHEVY,1
yw,1
nycha,1
POSTAL SER,1
UNKOWM,1
US MA,1
Freighntli,1
DRONE,1
VERZION VA,1
Electrict,1
FDNY EMS V,1
straight t,1
SUDAN,1
nat grid t,1
SCOMM,1
Unkn,1
TAN P,1
trailer no,1
nyu s,1
G OMR,1
MOOPER,1
Humme,1
TRA/R,1
SANAT,1
New Y,1
RIDE ON SC,1
2 DR,1
RV/VAN,1
CAT CATERP,1
